0.446667,0.668894,0.437816,0.746417,0.533573,0.700601,0.478929,0.829307,0.358225
0.44673,0.860848,0.757751,0.548542,0.70554,0.786412,0.526234,0.762211,0.087548
0.446777,0.467619,0.490828,0.35069,0.331213,0.872246,0.573538,0.695092,0.36247
0.446824,0.659572,0.810781,0.152815,0.503164,0.958079,0.620857,0.627996,0.091793
0.446871,0.851508,0.543858,0.699795,0.675131,1.043891,0.668162,0.5609,0.366716
0.049192,0.058232,-0.017214,0.108604,0.140205,0.034039,0.081312,0.124251,0.040083
0.049237,0.133676,0.115097,0.05172,0.206838,0.067861,0.106554,0.103865,-0.011271
0.049271,-0.020876,0.004709,-0.005157,0.061797,0.101693,0.131797,0.083473,0.040888
0.049305,0.054568,0.137028,-0.062041,0.128423,0.135524,0.157047,0.063087,-0.010466
0.049339,0.130005,0.02664,0.095202,0.195055,0.169346,0.182289,0.042702,0.041694
0.440803,0.661294,0.446969,0.738598,0.531602,0.697415,0.482563,0.841372,0.353464
0.440865,0.851194,0.757035,0.544795,0.698175,0.783821,0.530173,0.773295,0.089312
0.440912,0.462171,0.498345,0.351014,0.335591,0.870249,0.577783,0.705195,0.357608
0.440959,0.652072,0.808429,0.157211,0.502147,0.956677,0.625408,0.637118,0.093456
0.441006,0.841955,0.54974,0.692936,0.66872,1.043083,0.673018,0.569041,0.361751
0.05266,0.059425,-0.01568,0.119696,0.137692,0.039233,0.083759,0.130357,0.052914
0.052707,0.135293,0.11983,0.05757,0.198106,0.076858,0.10833,0.109095,-0.013036
0.052742,-0.020128,0.006774,-0.004549,0.066602,0.114492,0.132901,0.087826,0.053948
0.052776,0.05574,0.142291,-0.066675,0.12701,0.152126,0.157479,0.066564,-0.012002
0.052811,0.131602,0.029235,0.105059,0.187423,0.189751,0.18205,0.045302,0.054983
0.434989,0.662044,0.444477,0.742693,0.526961,0.695119,0.476807,0.827021,0.373636
0.435053,0.855809,0.763545,0.546252,0.699206,0.782948,0.524479,0.759513,0.092715
0.435101,0.458868,0.497345,0.349834,0.324274,0.870799,0.572151,0.691981,0.378042
0.435149,0.652634,0.816431,0.153393,0.496502,0.95865,0.619838,0.624473,0.097121
0.435197,0.846381,0.550232,0.696409,0.668748,1.046479,0.66751,0.556964,0.382449
0.053006,0.058736,-0.01978,0.116004,0.139606,0.036002,0.081308,0.132928,0.051806
0.053052,0.136784,0.116105,0.055382,0.20505,0.071368,0.105848,0.111274,-0.013296
0.053087,-0.023102,0.002736,-0.005233,0.062597,0.106744,0.130388,0.089613,0.052827
0.053121,0.054946,0.138629,-0.065855,0.128034,0.142119,0.154935,0.067959,-0.012274
0.053156,0.132987,0.025259,0.101721,0.193477,0.177486,0.179475,0.046305,0.053849
0.436886,0.658599,0.437356,0.755039,0.531497,0.715148,0.493996,0.825084,0.374214
0.436949,0.850525,0.752622,0.562139,0.703398,0.80011,0.541859,0.757664,0.096357
0.436996,0.457354,0.489595,0.36926,0.329215,0.885093,0.589723,0.690222,0.378572
0.437042,0.649279,0.804878,0.17636,0.5011,0.970077,0.637602,0.622802,0.100715
0.437089,0.841186,0.541851,0.709589,0.673001,1.055039,0.685466,0.555382,0.38293
0.047331,0.058903,-0.016968,0.115544,0.141443,0.038823,0.081273,0.130863,0.052512
0.047378,0.133515,0.118856,0.055079,0.207515,0.075579,0.106364,0.109425,-0.013248
0.047413,-0.019332,0.005538,-0.005379,0.063693,0.112344,0.131455,0.087979,0.053544
